2024-08-19/22:20:34		Entered the preprocessor training class 
2024-08-19/22:20:34		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:20:34		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:20:34		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:20:34		Replaced ? in data with Nan
2024-08-19/22:20:34		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:20:34		Entered the remove_columns method of the Preprocessor class
2024-08-19/22:20:34		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/22:20:34		Entered the is_null_present method of the Preprocessor class
2024-08-19/22:20:34		Finding missing values is a success.
2024-08-19/22:20:34		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/22:20:34		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/22:20:34		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:20:34		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:20:34		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:20:34		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:20:34		Entered the load_model method of the File_Operation class
2024-08-19/22:20:34		Model File Insutance_Fraud_Detection_Model loaded. Exited the load_model method of the Model_Finder class
2024-08-19/22:20:34		Entered the predict_results method of  preprocessor training class 
2024-08-19/22:20:34		Entered the add_features method of  preprocessor training class 
2024-08-19/22:20:34		 Sucessfully predicted results 
2024-08-19/22:23:09		Entered the preprocessor training class 
